Palestinian Public Health at UC Berkeley,Student Activity Group (SAG),3,$500
Parliamentary Debate at Berkeley,Student Activity Group (SAG),13,"$2,800"
Partnership for Pre-Professional Pilipinxs,Student Activity Group (SAG),23,"$1,000"
Perfect Fifth,Student Activity Group (SAG),1,$400
"Phi Alpha Delta Law Fraternity, International",Student Activity Group (SAG),14,$550
Phi Alpha Theta,Student Activity Group (SAG),20,$400
Phi Delta Epsilon,Student Activity Group (SAG),13,$500
Phi Sigma Rho (under ESC),Student Activity Group (SAG),7,SPONSORSHIP ONLY (ABSA)
Phoenix Consulting Group,Student Activity Group (SAG),5,"$1,100"
Phoenix Symphony at Berkeley,Student Activity Group (SAG),9,"$4,000"
Pi Sigma Epsilon,Student Activity Group (SAG),9,$400
Pilipino American Alliance,Student Activity Group (SAG),33,"$13,230"
Pilipino Association for Health Careers,Student Activity Group (SAG),31,"$4,686"
Pilipino Basketball Association,Student Activity Group (SAG),1,$250
"Pilipinx Association of Scientists, Architects, and Engineers (under ESC)",Student Activity Group (SAG),35,SPONSORSHIP ONLY (ABSA)
Pointe of Berkeley,Student Activity Group (SAG),7,$770
Poker at Berkeley,Student Activity Group (SAG),1,SPONSORSHIP ONLY (ABSA)
Political Computer Science,Student Activity Group (SAG),5,$320
Potluck Club,Student Activity Group (SAG),2,$500
Pre-Medical Honor Society,Student Activity Group (SAG),7,"$1,000"
Pre-PA Club at Berkeley,Student Activity Group (SAG),1,$400
"Pre-Pharmacy Informational, Learning and Leadership Society",Student Activity Group (SAG),23,"$2,500"
PreDental Society,Student Activity Group (SAG),40,"$2,500"
Prytanean Women's Honor Society,Student Activity Group (SAG),12,$250
Psychedelic Science at Berkeley,Student Activity Group (SAG),3,$650
Puente at Berkeley,Student Activity Group (SAG),6,"$1,360"
Punjabi Art Collective,Student Activity Group (SAG),1,$400
Quantum Computing at Berkeley,Student Activity Group (SAG),2,$400
Quidditch League at Berkeley,Student Activity Group (SAG),15,$200
Quiz Bowl Club,Student Activity Group (SAG),1,$500
Ra-On,Student Activity Group (SAG),13,"$2,750"
Raas Ramzat,Student Activity Group (SAG),7,"$1,700"
Regents' and Chancellor's Scholars Association,Student Activity Group (SAG),4,$450
Review of Human Rights at Berkeley,Student Activity Group (SAG),2,$150
Rhythm at Berkeley,Student Activity Group (SAG),2,$650
Riot Games at Berkeley,Student Activity Group (SAG),1,$500
Rubik's Cube Club at Berkeley,Student Activity Group (SAG),12,$420
Russian Speaking Student Association,Student Activity Group (SAG),2,$500
SAAS (Student Association for Applied Statistics) [Formerly SAAS],Student Activity Group (SAG),1,SPONSORSHIP ONLY (ABSA)
Salsa at Cal,Student Activity Group (SAG),10,SPONSORSHIP ONLY (ABSA)
Saudi Arabian Association at Berkeley,Student Activity Group (SAG),2,$650
Scholars of Finance,Student Activity Group (SAG),3,$400
Science Olympiad at Berkeley,Student Activity Group (SAG),1,SPONSORSHIP ONLY (ABSA)
Seed Base Consulting,Student Activity Group (SAG),5,$320
Sigma Alpha Nu,Student Activity Group (SAG),13,"$4,000"
"Sigma Gamma Rho Sorority, Inc.",Student Activity Group (SAG),1,$400
Sigma Omicron Pi,Student Activity Group (SAG),1,$500
Singapore Student Association (formerly Singapore Malaysia Student Association),Student Activity Group (SAG),4,$400
Skateboarding at Berkeley,Student Activity Group (SAG),2,$500
Sketchicho!,Student Activity Group (SAG),1,$400
Society for the Study of Modern Visual Culture at Berkeley,Student Activity Group (SAG),2,SPONSORSHIP ONLY (ABSA)
Society of Engineering Sciences (under ESC),Student Activity Group (SAG),8,SPONSORSHIP ONLY (ABSA)
Society of Linguistics Undergraduate Students,Student Activity Group (SAG),4,"$1,000"
Society of Women Engineers (under ESC),Student Activity Group (SAG),8,SPONSORSHIP ONLY (ABSA)
Songwriting at Berkeley,Student Activity Group (SAG),7,$640
Soon Movement,Student Activity Group (SAG),1,$400
Soul,Student Activity Group (SAG),2,$500
South Indian Society,Student Activity Group (SAG),8,"$4,000"
Space Enterprise at Berkeley (under ESC),Student Activity Group (SAG),7,SPONSORSHIP ONLY (ABSA)
Space Technologies at California (under ESC),Student Activity Group (SAG),7,SPONSORSHIP ONLY (ABSA)
Space Technologies and Rocketry (under ESC),Student Activity Group (SAG),7,SPONSORSHIP ONLY (ABSA)
SpaceForm,Student Activity Group (SAG),1,$400
Speak Out Now (formerly Students for Social Change),Student Activity Group (SAG),1,$500
Speaker Series: India at Berkeley,Student Activity Group (SAG),3,$650
Splatoon at Berkeley,Student Activity Group (SAG),1,$400
Sports Analytics Group at Berkeley,Student Activity Group (SAG),4,$760
Steel Bridge Competition Team (under ESC),Student Activity Group (SAG),8,SPONSORSHIP ONLY (ABSA)
Student Food Collective,Student Activity Group (SAG),3,$200
Student Policy Institute at Berkeley,Student Activity Group (SAG),1,$500
Students for Life at Berkeley,Student Activity Group (SAG),26,"$2,800"
Students vs Pandemics at Berkeley,Student Activity Group (SAG),2,$400
Sustainable Housing at California (Formerly THIMBY/Solar Decathlon) [under Community Projects],Student Activity Group (SAG),2,SPONSORSHIP ONLY (ABSA)
Taiwanese American Student Association,Student Activity Group (SAG),26,"$4,500"
Taiwanese Student Association,Student Activity Group (SAG),27,"$3,600"
TAMID Group,Student Activity Group (SAG),2,SPONSORSHIP ONLY (ABSA)
TASSEL at Berkeley,Student Activity Group (SAG),3,$400
Taylor Swift Society of Berkeley,Student Activity Group (SAG),2,$500
TBD Comedy,Student Activity Group (SAG),7,$800
Thai American Cultural Association,Student Activity Group (SAG),2,$403
Bearettes Drill Team at Berkeley,Student Activity Group (SAG),6,"$5,600"
"Berkeley Forum, The",Student Activity Group (SAG),13,"$13,800"
"Californians, The",Student Activity Group (SAG),4,$500
The Dialectic,Student Activity Group (SAG),1,$500
The Footbag Club of Berkeley,Student Activity Group (SAG),1,$250
The IT Club at Berkeley,Student Activity Group (SAG),2,SPONSORSHIP ONLY (ABSA)
The Rebel Alliance of California,Student Activity Group (SAG),1,$300
The Wildlife Society at Berkeley,Student Activity Group (SAG),1,$400
Theater For Charity,Student Activity Group (SAG),20,"$1,848"
Theta Tau,Student Activity Group (SAG),5,$400
Thrive Dance Company,Student Activity Group (SAG),10,$960
